ip,lat,lon,city,country
146.174.184.79,1.2897,103.8501,Singapore,SG
146.174.173.185,1.2897,103.8501,Singapore,SG
146.174.182.77,1.2897,103.8501,Singapore,SG
3.125.42.82,50.1155,8.6842,Frankfurt am Main,DE
202.76.160.10,1.2897,103.8501,Singapore,SG
45.95.214.205,40.1956,29.0601,Bursa,TR
146.174.167.11,1.2897,103.8501,Singapore,SG
202.76.167.195,1.2897,103.8501,Singapore,SG
146.174.168.78,1.2897,103.8501,Singapore,SG
146.174.191.35,1.2897,103.8501,Singapore,SG
146.174.185.155,1.2897,103.8501,Singapore,SG
146.174.190.229,1.2897,103.8501,Singapore,SG
202.76.164.74,1.2897,103.8501,Singapore,SG
146.174.175.38,1.2897,103.8501,Singapore,SG
146.174.178.220,1.2897,103.8501,Singapore,SG
202.76.163.119,1.2897,103.8501,Singapore,SG
146.174.160.11,1.2897,103.8501,Singapore,SG
146.174.179.161,1.2897,103.8501,Singapore,SG
146.174.175.92,1.2897,103.8501,Singapore,SG
202.76.163.215,1.2897,103.8501,Singapore,SG
146.174.173.136,1.2897,103.8501,Singapore,SG
146.174.178.111,1.2897,103.8501,Singapore,SG
146.174.166.185,1.2897,103.8501,Singapore,SG
146.174.178.133,1.2897,103.8501,Singapore,SG
146.174.188.6,1.2897,103.8501,Singapore,SG
146.174.162.98,1.2897,103.8501,Singapore,SG
202.76.164.94,1.2897,103.8501,Singapore,SG
146.174.189.13,1.2897,103.8501,Singapore,SG
146.174.167.136,1.2897,103.8501,Singapore,SG
146.174.183.215,1.2897,103.8501,Singapore,SG
146.174.191.69,1.2897,103.8501,Singapore,SG
146.174.169.116,1.2897,103.8501,Singapore,SG
146.174.191.233,1.2897,103.8501,Singapore,SG
146.174.181.33,1.2897,103.8501,Singapore,SG
146.174.187.106,1.2897,103.8501,Singapore,SG
146.174.172.124,1.2897,103.8501,Singapore,SG
146.174.191.88,1.2897,103.8501,Singapore,SG
146.174.186.225,1.2897,103.8501,Singapore,SG
146.174.177.201,1.2897,103.8501,Singapore,SG
146.174.164.154,1.2897,103.8501,Singapore,SG
146.174.191.255,1.2897,103.8501,Singapore,SG
146.174.186.246,1.2897,103.8501,Singapore,SG
146.174.182.198,1.2897,103.8501,Singapore,SG
202.76.166.166,1.2897,103.8501,Singapore,SG
47.79.212.76,1.2897,103.8501,Singapore,SG
146.174.171.21,1.2897,103.8501,Singapore,SG
146.174.168.74,1.2897,103.8501,Singapore,SG
202.76.164.62,1.2897,103.8501,Singapore,SG
146.174.187.79,1.2897,103.8501,Singapore,SG
146.174.186.80,1.2897,103.8501,Singapore,SG
146.174.187.75,1.2897,103.8501,Singapore,SG
146.174.160.229,1.2897,103.8501,Singapore,SG
146.174.171.149,1.2897,103.8501,Singapore,SG
146.174.163.75,1.2897,103.8501,Singapore,SG
146.174.190.223,1.2897,103.8501,Singapore,SG
146.174.181.134,1.2897,103.8501,Singapore,SG
146.174.167.135,1.2897,103.8501,Singapore,SG
146.174.181.14,1.2897,103.8501,Singapore,SG
146.174.173.144,1.2897,103.8501,Singapore,SG
146.174.182.241,1.2897,103.8501,Singapore,SG
146.174.190.231,1.2897,103.8501,Singapore,SG
146.174.173.38,1.2897,103.8501,Singapore,SG
146.174.165.237,1.2897,103.8501,Singapore,SG
146.174.189.133,1.2897,103.8501,Singapore,SG
146.174.169.151,1.2897,103.8501,Singapore,SG
146.174.167.126,1.2897,103.8501,Singapore,SG
146.174.167.218,1.2897,103.8501,Singapore,SG
146.174.178.152,1.2897,103.8501,Singapore,SG
146.174.191.82,1.2897,103.8501,Singapore,SG
202.76.167.93,1.2897,103.8501,Singapore,SG
146.174.180.148,1.2897,103.8501,Singapore,SG
202.76.167.44,1.2897,103.8501,Singapore,SG
146.174.189.174,1.2897,103.8501,Singapore,SG
146.174.173.47,1.2897,103.8501,Singapore,SG
146.174.187.186,1.2897,103.8501,Singapore,SG
202.76.164.175,1.2897,103.8501,Singapore,SG
146.174.164.9,1.2897,103.8501,Singapore,SG
146.174.184.173,1.2897,103.8501,Singapore,SG
146.174.189.14,1.2897,103.8501,Singapore,SG
146.174.180.171,1.2897,103.8501,Singapore,SG
146.174.176.197,1.2897,103.8501,Singapore,SG
146.174.161.110,1.2897,103.8501,Singapore,SG
146.174.173.8,1.2897,103.8501,Singapore,SG
146.174.185.192,1.2897,103.8501,Singapore,SG
146.174.189.163,1.2897,103.8501,Singapore,SG
146.174.161.159,1.2897,103.8501,Singapore,SG
202.76.167.129,1.2897,103.8501,Singapore,SG
146.174.169.200,1.2897,103.8501,Singapore,SG
146.174.172.24,1.2897,103.8501,Singapore,SG
146.174.161.5,1.2897,103.8501,Singapore,SG
146.174.181.197,1.2897,103.8501,Singapore,SG
202.76.163.15,1.2897,103.8501,Singapore,SG
146.174.184.248,1.2897,103.8501,Singapore,SG
146.174.186.227,1.2897,103.8501,Singapore,SG
146.174.175.248,1.2897,103.8501,Singapore,SG
146.174.182.118,1.2897,103.8501,Singapore,SG
146.174.179.42,1.2897,103.8501,Singapore,SG
202.76.160.182,1.2897,103.8501,Singapore,SG
146.174.172.220,1.2897,103.8501,Singapore,SG
146.174.169.185,1.2897,103.8501,Singapore,SG
146.174.164.69,1.2897,103.8501,Singapore,SG
202.76.163.128,1.2897,103.8501,Singapore,SG
146.174.189.125,1.2897,103.8501,Singapore,SG
202.76.166.184,1.2897,103.8501,Singapore,SG
146.174.191.123,1.2897,103.8501,Singapore,SG
146.174.165.64,1.2897,103.8501,Singapore,SG
174.172.57.19,39.3093,-76.475,Essex,US
202.76.161.46,1.2897,103.8501,Singapore,SG
146.174.183.244,1.2897,103.8501,Singapore,SG
146.174.165.45,1.2897,103.8501,Singapore,SG
146.174.176.187,1.2897,103.8501,Singapore,SG
146.174.167.244,1.2897,103.8501,Singapore,SG
146.174.184.156,1.2897,103.8501,Singapore,SG
146.174.191.169,1.2897,103.8501,Singapore,SG
202.76.165.160,1.2897,103.8501,Singapore,SG
72.14.201.234,40.7143,-74.006,New York City,US
202.76.160.73,1.2897,103.8501,Singapore,SG
178.244.99.231,39.9199,32.8543,Ankara,TR
146.174.164.203,1.2897,103.8501,Singapore,SG
162.120.188.135,48.8534,2.3488,Paris,FR
188.3.10.248,41.2798,36.3361,Samsun,TR
146.174.170.55,1.2897,103.8501,Singapore,SG
